region_id,timestamp,val_Humidity.mean,extra_rings_Humidity.mean
AB,2017-01-01,90.33333333333331,0
AL,2017-01-01,98.5,1
B,2017-01-01,98.2,1
BA,2017-01-01,91.89541666666665,1
BB,2017-01-01,83.25,1
BD,2017-01-01,85.0,0
BH,2017-01-01,94.075,0
BL,2017-01-01,85.89999999999998,2
BN,2017-01-01,91.9,0
BR,2017-01-01,97.0,1
BS,2017-01-01,100.0,0
BT,2017-01-01,82.68888888888887,0
CA,2017-01-01,84.14583333333333,0
CB,2017-01-01,88.2,0
CF,2017-01-01,90.0,1
CH,2017-01-01,86.46458333333334,1
CM,2017-01-01,93.35,1
CO,2017-01-01,88.2,1
CR,2017-01-01,97.8,1
CT,2017-01-01,96.25,1
CV,2017-01-01,81.19999999999997,1
CW,2017-01-01,90.18,1
DA,2017-01-01,96.25,1
DD,2017-01-01,82.78571428571429,1
DE,2017-01-01,98.2,0
DG,2017-01-01,73.10000000000002,0
DH,2017-01-01,91.1,1
DL,2017-01-01,90.5,0
DN,2017-01-01,88.10357142857143,1
DT,2017-01-01,86.5,0
DY,2017-01-01,89.725,1
E,2017-01-01,98.5,2
EC,2017-01-01,95.38680555555555,3
EH,2017-01-01,81.35,0
EN,2017-01-01,98.5,1
EX,2017-01-01,95.4,0
FK,2017-01-01,81.25454545454545,1
FY,2017-01-01,81.5,1
G,2017-01-01,73.3,0
GL,2017-01-01,22.5,0
GU,2017-01-01,94.29351851851852,1
GY,2017-01-01,,2
HA,2017-01-01,90.8208333333333,1
HD,2017-01-01,88.56666666666666,1
HG,2017-01-01,89.3,0
HP,2017-01-01,94.621875,1
HR,2017-01-01,93.8,0
HS,2017-01-01,,2
HU,2017-01-01,86.58124999999998,1
HX,2017-01-01,85.0,1
IG,2017-01-01,94.06666666666666,2
IM,2017-01-01,,2
IP,2017-01-01,94.5,1
IV,2017-01-01,83.44285714285716,0
JE,2017-01-01,,2
KA,2017-01-01,79.2,0
KT,2017-01-01,95.25,1
KW,2017-01-01,55.4,0
KY,2017-01-01,79.4,0
L,2017-01-01,86.44166666666666,2
LA,2017-01-01,81.5,0
LD,2017-01-01,93.35,0
LE,2017-01-01,98.2,1
LL,2017-01-01,84.96333333333334,0
LN,2017-01-01,90.45,0
LS,2017-01-01,86.77083333333331,1
LU,2017-01-01,98.5,1
M,2017-01-01,91.2,1
ME,2017-01-01,95.5,0
MK,2017-01-01,95.95,1
ML,2017-01-01,79.5,0
N,2017-01-01,98.5,2
NE,2017-01-01,84.33749999999998,1
NG,2017-01-01,92.15,1
NN,2017-01-01,95.09999999999998,1
NP,2017-01-01,80.6,1
NR,2017-01-01,97.65,0
NW,2017-01-01,93.74027777777776,2
OL,2017-01-01,91.2,1
OX,2017-01-01,95.09999999999998,0
PA,2017-01-01,89.93333333333332,0
PE,2017-01-01,93.81666666666668,1
PH,2017-01-01,76.36666666666667,0
PL,2017-01-01,92.5,0
PO,2017-01-01,94.93333333333332,0
PR,2017-01-01,81.5,1
RG,2017-01-01,93.1875,0
RH,2017-01-01,98.6,0
RM,2017-01-01,95.5,1
S,2017-01-01,89.5,0
SA,2017-01-01,88.32499999999997,0
SE,2017-01-01,95.75,2
SG,2017-01-01,98.5,0
SK,2017-01-01,91.2,0
SL,2017-01-01,91.96944444444445,1
SM,2017-01-01,95.83333333333331,2
SN,2017-01-01,87.5,0
SO,2017-01-01,96.3541666666667,0
SP,2017-01-01,94.21354166666666,0
SR,2017-01-01,91.7,1
